Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
Brussels Airlines,NRT,LAX,10h 15m,direct,economy,16:55,11:10,"AED 1,354 ",2024-05-30 
Iberia,CMN,PAR,10h 00m,1 stop,business,12:45,23:45,"AED 2,260 ",2024-06-19 
Egypt Air,PAR,NRT,18h 30m,1 stop,business,16:00,17:30+1,"AED 8,287 ",2024-06-22 
Delta,LAX,CMN,19h 15m,2 stops,business,06:00,09:15+1,"AED 15,608 ",2024-06-08 
Qatar Airways,NRT,PAR,22h 55m,1 stop,business,22:30,14:25+1,"AED 10,940 ",2024-05-30 
Delta,IST,LAX,19h 20m,1 stop,business,06:45,16:05,"AED 18,904 ",2024-06-12 
Qatar Airways,CMN,NRT,20h 45m,1 stop,economy,14:10,18:55+1,"AED 3,480 ",2024-06-10 
Turkish Airlines,NRT,PAR,18h 55m,1 stop,economy,10:35,22:30,"AED 2,547 ",2024-06-13 
Turkish Airlines,IST,NRT,20h 35m,2 stops,business,17:10,19:45+1,"AED 15,940 ",2024-06-05 
TAP Portugal,PAR,CMN,7h 00m,1 stop,business,10:20,16:20,"AED 1,930 ",2024-06-17 
Turkish Airlines,IST,CMN,4h 50m,direct,economy,18:10,21:00,"AED 3,038",2024-07-07
Egypt Air,IST,CMN,19h 55m,1 stop,economy,18:35,12:30+1,"AED 1,366",2024-07-01
Korean Air,NRT,IST,28h 45m,1 stop,business,20:55,19:40+1,"AED 7,970 ",2024-06-20 
Air Canada,CMN,LAX,22h 00m,2 stops,business,08:50,22:50,"AED 8,140",2024-07-05
Delta,LAX,CMN,16h 00m,1 stop,economy,21:00,21:00+1,"AED 4,645 ",2024-06-24 
Turkish Airlines,CMN,NRT,21h 45m,2 stops,business,16:45,22:30+1,"AED 9,540 ",2024-06-07 
Lufthansa,IST,LAX,16h 50m,1 stop,business,06:10,13:00,"AED 8,000 ",2024-06-08 
TUI Fly Belgium,CMN,PAR,3h 25m,direct,economy,07:20,11:45,AED 333,2024-06-05
Qatar Airways,NRT,IST,26h 05m,1 stop,economy,22:30,18:35+1,"AED 2,840 ",2024-06-24 
Royal Air Maroc,CMN,PAR,2h 50m,direct,business,03:10,07:00,"AED 2,720",2024-07-06
Multiple Airlines,LAX,PAR,25h 45m,2 stops,business,07:00,17:45+1,"AED 6,977 ",2024-06-20 
American Airlines,LAX,NRT,16h 55m,1 stop,business,07:35,16:30+1,"AED 11,800",2024-07-07
Emirates,CMN,NRT,18h 50m,1 stop,economy,14:45,17:35+1,"AED 5,118 ",2024-06-03 
Qatar Airways,CMN,IST,13h 20m,1 stop,business,20:50,12:10+1,"AED 7,940 ",2024-06-24 
Delta,LAX,PAR,10h 50m,direct,business,18:30,14:20+1,"AED 22,154 ",2024-06-25 
WestJet,LAX,NRT,17h 25m,1 stop,economy,07:00,16:25+1,"AED 4,950 ",2024-06-19 
Egypt Air,CMN,IST,11h 20m,1 stop,business,13:30,02:50+1,"AED 5,164",2024-05-31
